epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.304,0.53946,0.34276,0.88159,0.96369,0.98448,0.98758,0.89768,0.46097,0.27077,0.78686,0.000475812,0.000475812,0.000475812
2,219.736,0.5767,0.38334,0.88922,0.96255,0.98962,0.98616,0.88831,0.48493,0.27714,0.785,0.000945861,0.000945861,0.000945861
3,316.878,0.60995,0.41015,0.90071,0.96389,0.98109,0.98629,0.88246,0.48925,0.29715,0.79221,0.00140962,0.00140962,0.00140962
4,412.78,0.62032,0.41636,0.90483,0.96732,0.98782,0.98734,0.88959,0.49805,0.29438,0.78725,0.00140071,0.00140071,0.00140071
5,508.431,0.62168,0.41873,0.90503,0.97012,0.98633,0.98945,0.89029,0.48393,0.28513,0.77922,0.00139127,0.00139127,0.00139127
6,604.476,0.61656,0.42028,0.90268,0.95406,0.98749,0.99101,0.89376,0.4644,0.2711,0.77345,0.00138184,0.00138184,0.00138184
7,699.886,0.62082,0.41584,0.90868,0.96753,0.98516,0.98929,0.89336,0.49056,0.27249,0.78423,0.00137241,0.00137241,0.00137241
8,796.169,0.62051,0.42333,0.90358,0.969,0.98123,0.98962,0.88309,0.50027,0.28083,0.78765,0.00136298,0.00136298,0.00136298
9,889.729,0.61348,0.41626,0.90225,0.95725,0.98723,0.98931,0.89087,0.46708,0.29628,0.77311,0.00135355,0.00135355,0.00135355
10,983.808,0.62283,0.42842,0.9056,0.97927,0.96022,0.98814,0.88609,0.48701,0.3011,0.78466,0.00134412,0.00134412,0.00134412
11,1077.21,0.60975,0.41264,0.90168,0.96191,0.99005,0.99002,0.89055,0.48634,0.2989,0.78741,0.00133469,0.00133469,0.00133469
12,1174.21,0.63038,0.42479,0.90743,0.96468,0.98763,0.98672,0.89114,0.4742,0.28504,0.7815,0.00132525,0.00132525,0.00132525
13,1266.91,0.6159,0.4156,0.90611,0.97181,0.96347,0.9896,0.8947,0.47162,0.28272,0.77576,0.00131582,0.00131582,0.00131582
14,1361.2,0.61816,0.41984,0.90663,0.96488,0.96761,0.98977,0.88795,0.48559,0.27351,0.78465,0.00130639,0.00130639,0.00130639
15,1454.78,0.61944,0.4092,0.90597,0.97422,0.98966,0.98947,0.89486,0.46626,0.26457,0.77633,0.00129696,0.00129696,0.00129696
16,1548.44,0.61516,0.41053,0.90375,0.98015,0.96302,0.9873,0.88858,0.46605,0.28624,0.77874,0.00128753,0.00128753,0.00128753
17,1642.24,0.6182,0.41354,0.90696,0.96142,0.97587,0.98772,0.88812,0.47046,0.30588,0.77706,0.0012781,0.0012781,0.0012781
18,1735.69,0.61486,0.41805,0.90557,0.96464,0.98881,0.99048,0.88984,0.50598,0.25317,0.79484,0.00126867,0.00126867,0.00126867
19,1829.77,0.60976,0.40483,0.90015,0.97301,0.96129,0.98865,0.89034,0.46867,0.28959,0.77716,0.00125923,0.00125923,0.00125923
20,1923.21,0.59994,0.40383,0.89881,0.97319,0.97556,0.98888,0.89401,0.47905,0.26612,0.77983,0.0012498,0.0012498,0.0012498
21,2016.78,0.60507,0.40778,0.89798,0.9815,0.96246,0.98806,0.89294,0.46322,0.2704,0.77353,0.00124037,0.00124037,0.00124037
22,2110.13,0.60906,0.40217,0.90187,0.95569,0.98074,0.98661,0.88971,0.47349,0.3025,0.77776,0.00123094,0.00123094,0.00123094
23,2203.42,0.60619,0.41128,0.89967,0.96949,0.95307,0.98595,0.89197,0.47398,0.28187,0.77689,0.00122151,0.00122151,0.00122151
24,2297.04,0.60423,0.40047,0.89964,0.96923,0.98163,0.9888,0.89901,0.46041,0.26138,0.77378,0.00121208,0.00121208,0.00121208
25,2390.16,0.60343,0.39953,0.89728,0.97348,0.9683,0.99021,0.899,0.46015,0.2934,0.77298,0.00120265,0.00120265,0.00120265
26,2483.91,0.59955,0.39984,0.89953,0.96569,0.98198,0.98566,0.89612,0.46526,0.316,0.77923,0.00119322,0.00119322,0.00119322
27,2583.83,0.59628,0.39782,0.89533,0.98229,0.96406,0.98657,0.89289,0.47087,0.27629,0.78243,0.00118378,0.00118378,0.00118378
28,2680.29,0.59617,0.39281,0.89362,0.97868,0.97231,0.98912,0.89357,0.47315,0.26754,0.77832,0.00117435,0.00117435,0.00117435
29,2775.49,0.59348,0.39474,0.89516,0.97409,0.9611,0.98613,0.89509,0.46345,0.31074,0.77434,0.00116492,0.00116492,0.00116492
30,2868.49,0.59223,0.38957,0.89726,0.97496,0.98936,0.98872,0.89437,0.458,0.26364,0.77498,0.00115549,0.00115549,0.00115549
31,2961.8,0.59471,0.39278,0.89588,0.95543,0.98833,0.9909,0.89541,0.47203,0.27305,0.7837,0.00114606,0.00114606,0.00114606
32,3054.64,0.59691,0.38557,0.89725,0.96468,0.98308,0.98836,0.89975,0.46742,0.29658,0.77727,0.00113663,0.00113663,0.00113663
33,3147.83,0.58671,0.38637,0.89432,0.97426,0.96724,0.98703,0.89886,0.4731,0.30839,0.78137,0.0011272,0.0011272,0.0011272
34,3242.35,0.59722,0.40093,0.89503,0.96396,0.98938,0.98871,0.89749,0.47341,0.28502,0.78626,0.00111776,0.00111776,0.00111776
35,3336.69,0.58491,0.38421,0.89347,0.96185,0.98435,0.98388,0.89197,0.46526,0.27635,0.77418,0.00110833,0.00110833,0.00110833
36,3429.86,0.58974,0.38968,0.89487,0.96596,0.98313,0.98789,0.89109,0.46633,0.27343,0.77705,0.0010989,0.0010989,0.0010989
